Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind
2009-01-01,00:00,patchy rain possible,15,0.16274475098108573,100,1021,5.042058262314129
2009-01-01,03:00,moderate rain at times,16,0.1858127949770718,100,1021,5.484062871175737
2009-01-01,06:00,heavy rain at times,15,0.19363267487330035,100,1021,5.194342181539308
2009-01-01,09:00,moderate rain at times,16,0.19180960175316758,100,1023,5.484062871175737
2009-01-01,12:00,moderate rain at times,15,0.18930763492923303,100,1021,5.042058262314129
2009-01-01,15:00,moderate rain at times,15,0.18930763492923303,100,1020,5.042058262314129
2009-01-01,18:00,patchy rain possible,14,0.16274475098108573,100,1021,4.549556651450174
2009-01-01,21:00,patchy rain possible,15,0.11959287233968499,100,1023,5.042058262314129
2009-01-02,00:00,patchy rain possible,16,0.11959287233968499,100,1022,4.720260899714662
2009-01-02,03:00,moderate rain at times,16,0.18083371179614013,100,1021,5.042058262314129
2009-01-02,06:00,moderate rain at times,16,0.18930763492923303,100,1022,5.194342181539308
2009-01-02,09:00,moderate rain at times,16,0.1858127949770718,100,1024,5.484062871175737
2009-01-02,12:00,moderate rain at times,15,0.17358054344490673,100,1023,4.884214173795031
2009-01-02,15:00,moderate rain at times,15,0.17358054344490673,100,1020,4.884214173795031
2009-01-02,18:00,patchy rain possible,14,0.16274475098108573,100,1021,4.371343778247627
2009-01-02,21:00,patchy rain possible,14,0.11959287233968499,100,1022,4.549556651450174
2009-01-03,00:00,patchy rain possible,14,0.11959287233968499,100,1021,4.371343778247627
2009-01-03,03:00,overcast,14,0.0,100,1019,5.042058262314129
2009-01-03,06:00,patchy rain possible,14,0.07580438886542128,100,1020,4.884214173795031
2009-01-03,09:00,patchy rain possible,14,0.11959287233968499,100,1022,5.042058262314129
2009-01-03,12:00,overcast,16,0.0,100,1020,5.042058262314129
2009-01-03,15:00,overcast,17,0.0,100,1018,5.042058262314129
2009-01-03,18:00,overcast,16,0.0,100,1020,4.720260899714662
2009-01-03,21:00,cloudy,16,0.0,84,1019,4.184717812702665
2009-01-04,00:00,cloudy,15,0.0,79,1019,3.7816037354831513
2009-01-04,03:00,overcast,15,0.0,90,1017,4.184717812702665
2009-01-04,06:00,overcast,16,0.0,97,1017,3.988585135844888
2009-01-04,09:00,overcast,18,0.0,95,1018,3.988585135844888
2009-01-04,12:00,overcast,18,0.0,95,1017,4.549556651450174
2009-01-04,15:00,overcast,19,0.0,99,1015,4.371343778247627
2009-01-04,18:00,overcast,18,0.0,98,1016,2.803499664295572
2009-01-04,21:00,cloudy,17,0.0,81,1017,2.1707486001465037
2009-01-05,00:00,cloudy,17,0.0,66,1016,2.5042198085680107
2009-01-05,03:00,cloudy,16,0.0,83,1015,3.3279328495679765
2009-01-05,06:00,overcast,17,0.0,93,1016,2.1707486001465037
2009-01-05,09:00,overcast,20,0.0,86,1017,3.5620980717372133
2009-01-05,12:00,partly cloudy,21,0.0,53,1016,3.0763187575968183
2009-01-05,15:00,partly cloudy,22,0.0,58,1014,3.5620980717372133
2009-01-05,18:00,cloudy,19,0.0,66,1016,3.7816037354831513
2009-01-05,21:00,partly cloudy,18,0.0,59,1017,2.803499664295572
2009-01-06,00:00,partly cloudy,18,0.0,47,1017,2.5042198085680107
2009-01-06,03:00,patchy rain possible,18,0.11959287233968499,80,1016,2.803499664295572
2009-01-06,06:00,patchy rain possible,18,0.11959287233968499,81,1017,4.371343778247627
2009-01-06,09:00,patchy rain possible,20,0.16274475098108573,86,1018,3.3279328495679765
2009-01-06,12:00,patchy rain possible,21,0.14608271682549737,87,1017,2.803499664295572
2009-01-06,15:00,patchy rain possible,21,0.14608271682549737,72,1016,3.3279328495679765
2009-01-06,18:00,patchy rain possible,19,0.11959287233968499,78,1017,3.988585135844888
2009-01-06,21:00,patchy rain possible,19,0.07580438886542128,59,1018,3.3279328495679765
2009-01-07,00:00,patchy rain possible,20,0.07580438886542128,77,1019,2.5042198085680107
2009-01-07,03:00,cloudy,20,0.0,62,1018,3.5620980717372133
2009-01-07,06:00,patchy rain possible,20,0.16274475098108573,98,1019,4.184717812702665
2009-01-07,09:00,patchy rain possible,20,0.16274475098108573,100,1021,4.884214173795031
2009-01-07,12:00,moderate rain at times,19,0.19180960175316758,100,1020,5.042058262314129
2009-01-07,15:00,heavy rain at times,19,0.19498233384595645,100,1019,5.341539703581004
2009-01-07,18:00,heavy rain at times,18,0.19498233384595645,100,1021,4.549556651450174
2009-01-07,21:00,moderate rain at times,18,0.18083371179614013,100,1021,4.720260899714662
2009-01-08,00:00,moderate rain at times,18,0.17358054344490673,100,1022,4.884214173795031
2009-01-08,03:00,moderate rain at times,17,0.18930763492923303,100,1021,5.194342181539308
2009-01-08,06:00,moderate rain at times,17,0.18930763492923303,100,1022,5.194342181539308
2009-01-08,09:00,moderate rain at times,17,0.17358054344490673,100,1024,4.884214173795031
2009-01-08,12:00,patchy rain possible,17,0.14608271682549737,100,1023,5.042058262314129
2009-01-08,15:00,moderate rain at times,17,0.17358054344490673,100,1023,5.194342181539308
